District,Street,Community,Longitude,Latitude,AveragePrice,StdDeviationPrice,MaxPrice,MinPrice,2013AvgPrice,2014AvgPrice,2015AvgPrice,2016AvgPrice,2017AvgPrice,2018AvgPrice,2019AvgPrice,2020AvgPrice,2021AvgPrice,2022AvgPrice
临平,星桥,广厦天都城天月苑,120.249413,30.385727,18233.0625,2404.298533,21040,11839,0,0,0,0,0,18570,19230.5,17011,0,0
上城,七堡,雍泽府,120.248974,30.298744,39854.5,5117.11861,52273,31507,0,0,0,0,0,0,35621,38943.16667,40586.4,44696.6
上城,七堡,招商雍华府,120.248684,30.298603,40058.73333,3317.114036,46490,33671,0,0,0,0,39115.5,36264,39643.81818,40699.0625,0,0
上城,南星,赞成林风和风苑,120.248421,30.387209,59451.31818,9459.463758,83708,39406,0,0,0,39406,57209,0,57432.125,65377.625,0,0
临平,星桥,广厦天都城天风苑,120.248412,30.388963,16199.60714,3799.291008,21758,7995,0,0,0,0,10897,15428.25,18235.625,16866.91667,0,0
上城,七堡,世茂东壹号,120.24753,30.302088,35721.09524,5787.401941,42419,21349,0,0,0,21349,21349,34105.5,36567.5,39109.6,0,39005.5
临平,星桥,广厦天都城天水苑,120.247497,30.380559,19533.30769,1712.264914,23021,16918,0,0,0,0,0,19170.71429,21221.66667,18691,0,0
上城,九堡,保利梧桐语,120.247282,30.312232,35307.22222,5227.893601,42307,21836,0,0,0,23685,21836,32611,35882,36897.64706,0,0
临平,星桥,广厦天都城天河苑,120.246723,30.387434,20814.40517,3160.717902,29682,9403,0,0,0,0,16570.63158,20013.19737,21480.10606,22188.87324,0,0
上城,七堡,汇铂金座,120.246618,30.296509,25532,0,25532,25532,0,0,0,0,0,0,0,25532,0,0
